City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
234,Druten,NL,51.8833,5.6,61.92,83,100,11.01,overcast clouds
235,Pemba,MZ,-12.974,40.5178,75.9,83,40,5.99,moderate rain
236,Castro,BR,-24.7911,-50.0119,49.77,96,99,7.29,overcast clouds
237,Alice Springs,AU,-23.7,133.8833,101.75,14,0,8.05,clear sky
238,Beranang,MY,2.8733,101.8697,85.17,86,100,1.57,overcast clouds
239,Madang,PG,-5.2246,145.7966,86.38,63,47,6.87,scattered clouds
240,Waingapu,ID,-9.6567,120.2641,91.53,53,47,14.76,scattered clouds
241,Grootfontein,NA,-19.5667,18.1167,67.57,56,20,4.61,light rain
242,Sibolga,ID,1.7427,98.7792,79.25,80,100,2.35,overcast clouds
243,Port Hardy,CA,50.6996,-127.4199,53.6,76,90,19.57,overcast clouds
244,Kibaya,TZ,-5.3,36.5667,59.18,81,97,5.57,overcast clouds
245,Bud,US,39.447,-86.1758,53.35,95,25,6.17,scattered clouds
246,Saint-Louis,SN,16.3333,-15.0,78.44,14,28,4.83,scattered clouds
247,Arrifes,PT,37.7667,-25.7,64.65,72,75,4.61,broken clouds
248,Labuan,MY,5.2767,115.2417,86.36,70,40,3.0,scattered clouds
249,Beloha,MG,-25.1667,45.05,66.94,81,100,10.89,overcast clouds
250,Pringsewu,ID,-5.3582,104.9744,87.55,64,98,3.29,overcast clouds
251,Borovoy,RU,55.4333,86.0833,42.08,70,0,4.47,clear sky
252,Carutapera,BR,-1.195,-46.02,75.67,93,31,4.76,scattered clouds
253,Jiayuguan,CN,39.8167,98.3,48.69,23,20,9.66,few clouds
254,Chuy,UY,-33.6971,-53.4616,54.05,86,5,7.23,clear sky
255,Innisfail,AU,-17.5333,146.0333,102.87,78,94,12.71,overcast clouds
256,Tigil,RU,57.8,158.6667,24.85,77,100,13.94,light snow
257,Sinnamary,GF,5.3833,-52.95,79.68,81,96,8.9,overcast clouds
258,Maragogi,BR,-9.0122,-35.2225,75.78,86,85,5.39,overcast clouds
259,Elko,US,41.0002,-115.5012,45.64,60,64,1.01,broken clouds
260,Winsum,NL,53.33,6.5208,60.98,31,100,20.49,overcast clouds
261,Kautokeino,NO,69.0125,23.0412,18.0,95,100,3.6,overcast clouds
262,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,80,9,4.72,clear sky
263,Rundu,NA,-17.9333,19.7667,67.37,75,70,8.48,light rain
264,Kirakira,SB,-10.4544,161.9205,83.1,78,97,5.64,overcast clouds
