City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Chapais,CA,2021-10-12 23:33:27,49.7834,-74.8492,62.38,95,100,2.48
241,Tateyama,JP,2021-10-12 23:33:27,34.9833,139.8667,66.47,84,100,17.6
242,Mildura,AU,2021-10-12 23:32:00,-34.2,142.15,69.08,45,2,14.97
243,Zhireken,RU,2021-10-12 23:33:28,52.8249,117.3076,38.68,84,93,3.33
244,Cabedelo,BR,2021-10-12 23:33:29,-6.9811,-34.8339,77.67,74,88,10.25
245,Adrar,MR,2021-10-12 23:33:29,20.5022,-10.0711,84.67,12,69,3.09
246,Longyearbyen,SJ,2021-10-12 23:29:34,78.2186,15.6401,28.24,86,75,6.91
247,Tura,IN,2021-10-12 23:33:30,25.5198,90.2201,73.49,85,55,2.84
248,Cibitoke,BI,2021-10-12 23:33:30,-2.8833,29.25,62.56,66,45,4.65
249,Zhezkazgan,KZ,2021-10-12 23:33:31,47.8043,67.7144,36.01,46,7,8.7
250,Aguacatan,GT,2021-10-12 23:33:32,15.3431,-91.3117,80.33,47,20,6.91
251,Belyy Yar,RU,2021-10-12 23:29:52,53.6039,91.3903,30.09,100,75,4.47
252,Kolokani,ML,2021-10-12 23:33:32,13.5728,-8.0339,77.9,67,87,3.24
253,Aswan,EG,2021-10-12 23:33:33,24.0934,32.907,86.23,26,38,12.71
254,Lao Cai,VN,2021-10-12 23:33:33,22.4833,103.95,70.0,79,79,3.33
255,Seybaplaya,MX,2021-10-12 23:33:34,19.65,-90.6667,87.26,77,3,14.29
256,Pocone,BR,2021-10-12 23:33:34,-16.2567,-56.6228,84.47,59,55,3.09
257,Seguela,CI,2021-10-12 23:33:35,7.9611,-6.6731,74.34,81,87,5.41
258,Esmeralda,CU,2021-10-12 23:33:35,21.8525,-78.1169,79.84,87,84,5.08
259,Cayenne,GF,2021-10-12 23:28:43,4.9333,-52.3333,83.08,82,75,1.99
260,Faanui,PF,2021-10-12 23:33:36,-16.4833,-151.75,80.19,76,84,11.32
261,San Andres,CO,2021-10-12 23:33:36,12.5847,-81.7006,84.22,74,40,6.91
262,Conakry,GN,2021-10-12 23:33:37,9.538,-13.6773,80.67,94,75,4.61
263,Iqaluit,CA,2021-10-12 23:30:03,63.7506,-68.5145,35.33,93,75,23.0
264,Yantai,CN,2021-10-12 23:30:07,37.5333,121.4,65.26,63,31,4.36
265,Sidrolandia,BR,2021-10-12 23:33:38,-20.9319,-54.9614,81.39,57,2,8.95
266,Saint-Francois,FR,2021-10-12 23:33:38,46.4154,3.9054,47.68,93,0,0.0
267,Pinhao,BR,2021-10-12 23:33:39,-25.6956,-51.6597,56.95,79,2,1.9
268,Lyaskelya,RU,2021-10-12 23:33:39,61.7667,31.0167,44.87,83,100,4.81
269,Swellendam,ZA,2021-10-12 23:33:40,-34.0226,20.4417,52.18,66,100,2.55
270,Thinadhoo,MV,2021-10-12 23:33:41,0.5333,72.9333,83.75,69,78,17.36
271,Yining,CN,2021-10-12 23:33:41,29.0361,114.5636,63.93,74,93,3.96
272,Amravati,IN,2021-10-12 23:33:42,20.9333,77.75,71.89,70,9,3.94
273,Horki,BY,2021-10-12 23:33:42,54.2861,30.9842,43.61,90,100,3.53
274,Jiangyou,CN,2021-10-12 23:33:43,31.7667,104.7167,59.67,88,100,1.97
275,Mar Del Plata,AR,2021-10-12 23:33:43,-38.0023,-57.5575,59.02,64,90,10.0
